USA		Japan	United Kingdom	France	Italy	Canada	Korea	Australia	Spain	Mexico	Netherlands	Switzerland	Germany	Sweden	Belgium	Austria	Norway
Q3-1969	0.625897	2.395416	0.556501	0.945384	0.239159	1.05481	7.555943	1.746866	1.865453	1.554238	2.325833	4.158557	2.148261	3.838759	1.672652	2.406026	0.813607
Q4-1969	-0.436516	3.903013	0.505246	0.790252	-2.021338	1.408296	2.371989	2.196696	1.119478	1.864179	3.002685	-0.223326	1.536743	0.718574	1.654096	1.017809	0.436963
Q1-1970	-0.177225	3.064074	-0.61903	1.911374	5.996458	0.631526	-1.803269	2.04492	1.869665	1.80921	-1.492127	1.996142	-1.595662	1.335154	1.606117	1.88764	0.06665
Q2-1970	0.176945	1.212646	2.336264	1.262038	0.729987	-0.041183	4.115313	1.841379	0.158864	1.768314	2.729327	1.186441	3.975818	0.769958	1.575349	2.591039	0.382576
Q3-1970	0.885856	2.680797	0.9995	1.377239	2.006338	1.020186	0.411535	-0.501117	0.511083	1.243409	1.530089	1.396769	1.867836	2.920683	1.176552	1.93573	0.695855
Q4-1970	-1.028585	-0.322008	0.862707	1.570186	0.111821	0.168663	7.754353	2.086514	0.789028	0.69679	2.075318	0.404999	0.847607	0.462521	0.75863	1.242164	1.003665
Q1-1971	2.67758	0.910972	-0.572099	0.129083	-0.523041	-0.599126	0.695473	-0.280008	0.780918	0.685515	0.488356	1.114561	-1.921103	-1.089009	0.742862	0.171116	1.303203
Q2-1971	0.570687	1.613126	1.78235	1.821987	0.421992	2.923916	2.966367	0.468945	1.950593	0.675916	0.858251	1.590426	2.098641	-1.175994	0.735078	2.154849	1.320492
Q3-1971	0.781828	1.218443	1.726051	1.630601	1.464776	2.75605	0.243142	3.339544	1.839902	1.492963	0.674313	0.617427	1.730037	1.827542	1.041139	1.603989	1.336919
Q4-1971	0.292064	0.91105	0.398981	0.856781	0.564535	1.135652	0.817549	-0.232736	2.013559	2.33025	-1.106228	0.749718	-0.084182	-0.980524	1.354626	-0.364435	1.352475
Q1-1972	1.794268	3.258015	0.116817	1.309796	1.104811	-0.38957	1.574354	-1.057591	1.622512	2.264729	2.850949	0.917431	0.101103	0.473547	1.32811	3.257068	1.367177
Q2-1972	2.315712	1.881994	2.66293	0.384177	-0.045308	2.843469	2.585679	2.155498	2.362836	2.20276	0.460245	0.285354	1.632999	0.189989	1.304745	-0.037419	1.221701
Q3-1972	0.921599	2.134528	0.275106	0.88796	1.348168	0.227609	1.705316	-0.525452	2.196884	2.189294	0.151999	0.841034	2.335604	2.848965	1.448761	1.352707	1.0814
Q4-1972	1.660611	2.51568	1.571429	1.660236	0.475253	2.392227	4.431268	1.039947	1.981024	2.176627	1.243392	1.765426	1.553896	1.704581	1.593274	4.511312	0.94567
Q1-1973	2.461825	3.344675	4.954739	1.992282	0.901496	2.636591	3.507191	2.558587	1.840655	2.113477	3.158903	0.498111	1.382724	0.664999	1.557743	-1.417131	0.813763
Q2-1973	1.13376	0.914476	0.124703	1.080382	2.996681	1.091393	3.652718	0.191156	1.782786	2.052157	-0.328807	-0.087897	0.738877	0.036354	1.519071	2.047168	0.999672
Q3-1973	-0.543398	0.291681	-0.931876	0.858845	3.181783	0.338762	5.095154	0.990169	1.651654	1.753958	-0.725732	0.923731	0.327713	0.78154	1.426949	0.39801	1.180301
Q4-1973	0.932421	1.235736	-0.431753	1.278319	2.442616	1.883634	1.752888	2.528557	1.645425	1.442038	3.903124	1.762755	0.248869	1.365484	1.324668	2.114917	1.354833
Q1-1974	-0.830643	-3.435982	-2.732043	0.959287	0.810996	0.728226	4.438858	0.02218	1.698325	1.403345	0.575005	1.460966	0.84569	-0.532074	1.282729	2.016685	1.52253
Q2-1974	0.262893	0.720303	1.447057	0.500643	0.955064	1.106587	-0.921015	-2.001689	1.26359	1.378937	1.146852	0.302526	-0.076938	1.702633	1.269725	-0.421366	1.292527
Q3-1974	-0.968209	1.27966	0.647954	0.943451	0.166712	-0.117547	1.628667	1.207965	0.705686	1.420328	0.787979	-2.424597	0.000004	1.40867	0.16585	0.466238	1.071506
Q4-1974	-0.399968	-0.542349	-1.44813	-1.510183	-2.090375	-0.467111	-0.08811	0.08771	0.066164	1.455294	-1.3854	-3.572712	-1.262707	1.360992	-1.000723	-1.224199	0.857811
Q1-1975	-1.208139	0.130853	0.045742	-0.449904	-1.739606	-0.676615	1.824646	0.378026	-0.501916	1.418086	-1.963504	-2.127131	-0.577005	0.638731	-1.000149	0.139126	0.649878
Q2-1975	0.770457	2.220142	-1.643404	0.25275	-0.05161	1.307874	4.067033	3.096701	-0.083068	1.391313	1.370993	-1.071447	-0.501955	-1.154453	-1.004707	-1.030184	1.045184
Q3-1975	1.652604	1.138138	-0.329054	0.387352	1.421426	1.86702	2.873222	-1.12576	0.436846	1.242051	0.569855	-1.136947	1.087809	0.911621	0.507866	0.960339	1.429765
